
19910106 08:17 314   GGU   25   68.2 EM15pm Prague, OK, USA
19901101 07:03 314   H     150  26.4 CO34lg Langara Island Light Station, BC, CAN
19881123 06:00 314   POH   50   24.1 EN22qs Pocahontas, IA, USA
19910106 03:39 314   POH   50   24.1 EN22qs Pocahontas, IA, USA
19891220 04:03 314   POH   50   24.1 EN22qs Pocahontas, IA, USA
19880514 03:10 314   YN    100  22.2 DO60dg Swift Current, SK, CAN
19890101 18:53 314   YN    100  22.2 DO60dg Swift Current, SK, CAN
19901225 03:26 314   YN    100  22.2 DO60dg Swift Current, SK, CAN
19900109 11:55 314   ZN    320  4.8  EN09xs Portage La Prairie CFB, MB, CAN
19891009 11:55 314   ZN    320  4.8  EN09xs Portage La Prairie CFB, MB, CAN
20041017 11:05 315   #908  0         CN78fw Amphitrite Pt., BC, CAN
20070803 08:02 315   #908  0         CN78fw Amphitrite Pt., BC, CAN
19901101 07:11 315   M     100  34.2 CN79sl Sisters Islets Light Station, BC, CAN
19880902 09:54 315   M     100  34.2 CN79sl Sisters Islets Light Station, BC, CAN
20050212 22:43 316   #848  0         DN17rm Killarney Lake  (Spokane), WA, USA
20050213 11:08 316   #848  0         DN17rm Killarney Lake  (Spokane), WA, USA
20070803 08:16 316   #848  0         DN17rm Killarney Lake  (Spokane), WA, USA
20050221 11:01 317   #864  0         EN44bh Alma  (Saint Paul-  MN), MN, USA
19890101 19:10 317   A5    0         DO07kn CHINCHAGA, AB, CAN
19901225 18:22 317   A5    0         DO07kn CHINCHAGA, AB, CAN
19900717 10:17 317   IBM   25   78.9 DN81de KIMBALL, NE, USA
19901231 10:40 317   IBM   25   78.9 DN81de KIMBALL, NE, USA
19911216 07:08 317   IBM   25   78.9 DN81de KIMBALL, NE, USA
20050306 02:49 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
20070805 06:44 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
20070805 15:50 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
19890101 19:03 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
19901225 03:26 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
20041017 11:47 318   #823  0         DM84rt Summerfield, TX, USA
20070803 08:18 318   #823  0         DM84rt Summerfield, TX, USA
20070819 12:15 318   #878  0         CM99ek Chico, CA, USA
19880828 11:15 318   5C    200  9    DN99dr Cromer, MB, CAN
19881031 04:59 318   5C    200  9    DN99dr Cromer, MB, CAN
19890826 08:23 318   UT    25   160. CO26wa Cape Decision LS (Kuiu Island), AK, ALS
19890730 10:00 318   UT    25   160. CO26wa Cape Decision LS (Kuiu Island), AK, ALS
19880902 10:09 318   UT    25   160. CO26wa Cape Decision LS (Kuiu Island), AK, ALS
20050213 06:37 319   #818  0         EM92dd Groveland  (Savannah), GA, USA
20050213 11:49 319   #876  0         DM45cf Castle Butte  (Flagstaff), AZ, USA
20070803 08:21 319   #876  0         DM45cf Castle Butte  (Flagstaff), AZ, USA
20050213 06:44 320   #907  0         CN89mc Richmond, BC, CAN
20050319 06:06 320   #907  0         CN89mc Richmond, BC, CAN
20070803 08:24 320   #907  0         CN89mc Richmond, BC, CAN
19901201 01:44 320   AE    100  33.4 CN89ih Point Atkinson Light Station, BC, CAN
20050309 11:45 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
20070803 20:18 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
19871111 04:40 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
20070806 17:25 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
19890101 19:45 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
19881010 06:09 320   OM    0         EN21ai OMAHA/GERFI, NE, USA
19910106 08:21 320   OM    0         EN21ai OMAHA/GERFI, NE, USA
19911216 07:04 320   OM    0         EN21ai OMAHA/GERFI, NE, USA
20050306 02:53 320   YQF   50   53.6 DO32bd Red Deer, AB, CAN
20070805 06:46 320   YQF   50   53.6 DO32bd Red Deer, AB, CAN
20070805 15:50 320   YQF   50   53.6 DO32bd Red Deer, AB, CAN
19890101 19:40 320   YQF   50   53.6 DO32bd Red Deer, AB, CAN
19901225 03:27 320   YQF   50   53.6 DO32bd Red Deer, AB, CAN
20050320 12:06 321   #882  0         CM94rt Ventucopa  (Lompoc), CA, USA
20070803 10:30 321   #882  0         CM94rt Ventucopa  (Lompoc), CA, USA
19900110 04:26 321   YSY   0         CQ71ix Sachs Harbour, NT, CAN
19880822 06:20 321   YSY   0         CQ71ix Sachs Harbour, NT, CAN
20050221 10:56 322   #862  0         EM58co Summerfield  (St. Louis-  MO), MO, USA
20050319 06:11 322   #862  0         EM58co Summerfield  (St. Louis-  MO), MO, USA
20070803 08:32 322   #862  0         EM58co Summerfield  (St. Louis-  MO), MO, USA
20050213 06:32 323   #887  0         CN97ej Robinson Point, WA, USA
20070803 08:42 323   #887  0         CN97ej Robinson Point, WA, USA
20050213 12:35 323   #889  0         CO45tb Observatory Inlet  (Annette Is, ALS
20070803 08:35 323   #889  0         CO45tb Observatory Inlet  (Annette Is, ALS
19880828 11:27 323   HJH   25   60.8 EN10ed HEBRON, NE, USA
20070826 10:25 323   HJH   25   60.8 EN10ed HEBRON, NE, USA
20000813 04:23 323   HJH   25   60.8 EN10ed HEBRON, NE, USA
19991011 20:08 323   LTY   0         DN48mm Chester, MT, USA
19890101 21:09 323   LTY   0         DN48mm Chester, MT, USA
19901231 09:09 323   LTY   0         DN48mm Chester, MT, USA
19881123 06:09 323   UT    500  3.9  EL39hs Calcasieu Pass, LA, USA
19991230 02:50 323   W4    63   28.3 EO04xm Jenpeg, MB, CAN
20050301 04:02 324   #844  0         FN33fg Hudson Falls, NY, USA
19910106 08:21 324   ID    0         DN43ao UCONN, ID, USA
19890225 11:45 324   J     200  19.4 CO45bk Guard Island Light Station, ALS
20041017 11:16 325   #851  0         DN86pv Dickinson  (Medora), ND, USA
20050213 12:45 325   #851  0         DN86pv Dickinson  (Medora), ND, USA
20070803 08:44 325   #851  0         DN86pv Dickinson  (Medora), ND, USA
19871019 01:55 325   LN    80   25.5 DO70mq Lumsden, SK, CAN
19890101 21:18 325   LN    80   25.5 DO70mq Lumsden, SK, CAN
19901225 05:31 325   LN    80   25.5 DO70mq Lumsden, SK, CAN
19911209 07:52 325   YJQ   0         CO52we BELLA BELLA, BC, CAN
20050306 02:55 326   DC    500  6.3  CN99rl Princeton, BC, CAN
19891220 04:06 326   ETH   25   53.6 EN15rs WHEATON, MN, USA
19891220 04:10 326   ETH   25   53.6 EN15rs WHEATON, MN, USA
19890831 13:15 326   MCY   50   63   DM16xp Mercury, NV, USA
20070826 10:27 326   RRX   25   67   EN00bu 'Darr'  Lexington, NE, USA
19991230 02:51 326   VQ    0         CP65pg Norman Wells, NT, CAN
19881105 03:49 326   VQ    0         CP65pg Norman Wells, NT, CAN
20050322 03:45 326   XJ    100  31.9 CO96ng Fort St. John, BC, CAN
20070805 15:52 326   XJ    100  31.9 CO96ng Fort St. John, BC, CAN
19890101 21:22 326   XJ    100  31.9 CO96ng Fort St. John, BC, CAN
19901225 03:27 326   XJ    100  31.9 CO96ng Fort St. John, BC, CAN
20050316 04:41 326   YQK   200  6.5  EN29st Kenora, ON, CAN
19901221 07:00 326   YQK   200  6.5  EN29st Kenora, ON, CAN
20050306 03:12 328   5J    141  17.8 DO42gb Coronation, AB, CAN
20070805 15:53 328   5J    141  17.8 DO42gb Coronation, AB, CAN
19890101 21:30 328   5J    141  17.8 DO42gb Coronation, AB, CAN
19901225 03:28 328   5J    141  17.8 DO42gb Coronation, AB, CAN
19991230 02:55 328   YTL   1000 1.3  EO53bt Big Trout Lake, ON, CAN
19900111 07:03 328   YTL   1000 1.3  EO53bt Big Trout Lake, ON, CAN
19891221 03:02 328   YTL   1000 1.3  EO53bt Big Trout Lake, ON, CAN
19901201 01:44 329   D     0         CN78oo CARMANAH, BC, CAN
19881112 04:13 329   D     0         CN78oo CARMANAH, BC, CAN
19890826 05:15 329   IA    0         FN03nc 'Kathi'  Niagara Falls, NY, USA
19891016 02:55 329   PJ    25   161. CP20nk Whitehorse (Robinson), YT, CAN
19891012 11:28 329   PMV   25   54.3 EN20bw PLATTSMOUTH, NE, USA
19910105 08:15 329   PMV   25   54.3 EN20bw PLATTSMOUTH, NE, USA
20050304 11:43 329   TAD   150  14.6 DM77th Trinidad, CO, USA
20070804 11:18 329   TAD   150  14.6 DM77th Trinidad, CO, USA
19890730 10:19 329   TAD   150  14.6 DM77th Trinidad, CO, USA
19901222 08:01 329   TAD   150  14.6 DM77th Trinidad, CO, USA
20050306 03:13 329   X2    0         DO34jr Athabasca, AB, CAN
20070805 06:48 329   X2    0         DO34jr Athabasca, AB, CAN
20070805 15:53 329   X2    0         DO34jr Athabasca, AB, CAN
19890101 21:40 329   X2    0         DO34jr Athabasca, AB, CAN
19901225 03:24 329   X2    0         DO34jr Athabasca, AB, CAN
19891112 04:10 329   YEK   1000 2.2  EP21xc Arviat, NU, CAN
20050306 03:16 329   YEK   1000 2.2  EP21xc Arviat, NU, CAN
19881008 03:37 329   YEK   1000 2.2  EP21xc Arviat, NU, CAN
19891115 05:16 329   YHN   500  1.4  EN79qf Hornepayne, ON, CAN
19881220 02:13 330   BWX   50   52.1 DN38ko 'Starr'- Browning, MT, USA
20050304 11:34 330   GLE   0         EM13jr Gainesville, TX, USA
20050304 11:34 330   PWC   0         EN26tr Pine River, MN, USA
20050304 11:29 332   BVN   25   60.2 EN01xr 'Alaby'  Albion, NE, USA
20070826 10:52 332   BVN   25   60.2 EN01xr 'Alaby'  Albion, NE, USA
20050304 11:29 332   IA    0         CN85sm 'Laker'  Portland, OR, USA
19880828 11:40 332   IA    0         CN85sm 'Laker'  Portland, OR, USA
19911209 07:38 332   IA    0         CN85sm 'Laker'  Portland, OR, USA
19900102 07:26 332   IC    0         EM17gn 'Piche'  Wichita, KS, USA
20070804 11:24 332   LBH   0         CN85sm Portland-Blue-Lake, OR, USA
20070808 11:23 332   LBH   0         CN85sm Portland-Blue-Lake, OR, USA
20070808 11:24 332   LBH   0         CN85sm Portland-Blue-Lake, OR, USA
19901225 11:41 332   LBH   0         CN85sm Portland-Blue-Lake, OR, USA
19901225 11:41 332   LBH   0         CN85sm Portland-Blue-Lake, OR, USA
20070826 06:24 332   LBH   0         CN85sm Portland-Blue-Lake, OR, USA
20050213 13:32 332   POA   0         BK29mn Pahoa, HWA
20050301 13:32 332   POA   0         BK29mn Pahoa, HWA
19890825 02:05 332   VT    500  4.9  DO55su Buffalo Narrows, SK, CAN
20070805 15:54 332   VT    500  4.9  DO55su Buffalo Narrows, SK, CAN
19890101 21:42 332   VT    500  4.9  DO55su Buffalo Narrows, SK, CAN
19901225 03:25 332   VT    500  4.9  DO55su Buffalo Narrows, SK, CAN
19901227 09:20 332   WC    0         CN89oa WHITE ROCK, BC, CAN
20050306 03:18 332   XH    50   48.8 DO40oa Medicine Hat, AB, CAN
20070805 14:07 332   XH    50   48.8 DO40oa Medicine Hat, AB, CAN
19901225 03:25 332   XH    50   48.8 DO40oa Medicine Hat, AB, CAN
20050306 03:17 332   XT    0         CO54ri Terrace, BC, CAN
19991229 06:40 333   STI   0         DN23ec 'Sturgeon'  Mountain Home, ID, USA
19911209 07:34 333   STI   0         DN23ec 'Sturgeon'  Mountain Home, ID, USA
20050306 03:34 334   P2    0         DO32hx Wetaskiwin, AB, CAN
20070805 14:10 334   P2    0         DO32hx Wetaskiwin, AB, CAN
19890101 21:44 334   P2    0         DO32hx Wetaskiwin, AB, CAN
19901225 03:26 334   P2    0         DO32hx Wetaskiwin, AB, CAN
19900110 04:23 334   YER   195  7.6  EO65ex Fort Severn, ON, CAN
20050314 10:58 335   BDX   0         DN75hk Broadus, MT, USA
19881113 06:30 335   BDX   0         DN75hk Broadus, MT, USA
19910106 04:01 335   BDX   0         DN75hk Broadus, MT, USA
20070826 06:43 335   BDX   0         DN75hk Broadus, MT, USA
19991222 07:21 335   CNC   25   46.1 EN31ha Chariton, IA, USA
19890225 11:35 335   CNK   0         EM19en Concordia, KS, USA
20070826 06:45 335   CNK   0         EM19en Concordia, KS, USA
20050314 10:58 335   CVP   0         DN46ao 'Capitol'  Helena, MT, USA
19880514 03:15 335   CVP   0         DN46ao 'Capitol'  Helena, MT, USA
20070806 05:06 335   CVP   0         DN46ao 'Capitol'  Helena, MT, USA
19890101 19:07 335   CVP   0         DN46ao 'Capitol'  Helena, MT, USA
19901226 09:05 335   CVP   0         DN46ao 'Capitol'  Helena, MT, USA
19881123 06:22 335   IHS   0         DM78oq Ft. Carson (IRONHORSE), CO, USA
19891112 03:46 335   YUT   0         EP66vm Repulse Bay, NU, CAN
19881031 05:07 335   YUT   0         EP66vm Repulse Bay, NU, CAN
19900707 03:35 335   YXO   500  6.1  DN09ll Carmi, BC, CAN
20050323 11:17 336   LF    50   29.7 EN19ip La Salle, MB, CAN
19880310 02:10 337   1Z    200  11.7 DO51lu Kerrobert, SK, CAN
19901225 05:26 337   1Z    200  11.7 DO51lu Kerrobert, SK, CAN
19911209 08:03 338   ESY   100  24.9 DN44kq West Yellowstone, MT, USA
20050304 11:21 338   PBT   500  7    CN80vc 'Proberta'  Red Bluff, CA, USA
19881123 06:35 338   PBT   500  7    CN80vc 'Proberta'  Red Bluff, CA, USA
20070805 05:04 338   PBT   500  7    CN80vc 'Proberta'  Red Bluff, CA, USA
19911209 08:10 338   PBT   500  7    CN80vc 'Proberta'  Red Bluff, CA, USA
20070808 11:25 338   PBT   500  7    CN80vc 'Proberta'  Red Bluff, CA, USA
20050304 11:23 338   PSS   0         EN00sq 'Prosser'  Hastings, NE, USA
20070826 10:39 338   PSS   0         EN00sq 'Prosser'  Hastings, NE, USA
20050318 12:48 338   RYN   400  7.5  DM42kd 'Ryan'  Tucson, AZ, USA
19890225 11:31 338   VTI   25   40.3 EN32xf 'Garrison'  Vinton, IA, USA
19900108 02:59 338   VTI   25   40.3 EN32xf 'Garrison'  Vinton, IA, USA
20050306 03:20 338   ZU    0         DO24gb Whitecourt, AB, CAN
20070805 14:14 338   ZU    0         DO24gb Whitecourt, AB, CAN
19890101 21:48 338   ZU    0         DO24gb Whitecourt, AB, CAN
19901225 03:28 338   ZU    0         DO24gb Whitecourt, AB, CAN
19901101 07:00 339   6X    0         EO16wc York Landing, MB, CAN
19891115 05:03 339   6X    0         EO16wc York Landing, MB, CAN
20050309 11:57 339   MKR   0         DN68qe 'Milk River'  Glasgow, MT, USA
20070805 01:29 339   MKR   0         DN68qe 'Milk River'  Glasgow, MT, USA
19880707 08:58 339   MKR   0         DN68qe 'Milk River'  Glasgow, MT, USA
20070806 17:27 339   MKR   0         DN68qe 'Milk River'  Glasgow, MT, USA
19890101 21:52 339   MKR   0         DN68qe 'Milk River'  Glasgow, MT, USA
19901225 18:30 339   MKR   0         DN68qe 'Milk River'  Glasgow, MT, USA
19901101 06:57 340   YY    500  2.1  FN58un Mont Joli, QC, CAN
19891115 05:10 340   YY    500  2.1  FN58un Mont Joli, QC, CAN
19881008 13:42 341   1X    50   43.3 DO61re Loreburn, SK, CAN
19890101 22:26 341   1X    50   43.3 DO61re Loreburn, SK, CAN
19901225 05:25 341   1X    50   43.3 DO61re Loreburn, SK, CAN
19890829 13:00 341   CD    1000 5.8  AO85oh 'Elfee'  Cold Bay, ALS
20050402 12:47 341   CD    1000 5.8  AO85oh 'Elfee'  Cold Bay, ALS
20050403 12:50 341   CD    1000 5.8  AO85oh 'Elfee'  Cold Bay, ALS
20050312 13:14 341   DB    200  21.3 CP01mi Burwash, YK, CAN
20050316 04:49 341   DB    200  21.3 CP01mi Burwash, YK, CAN
19890225 11:16 341   DB    200  21.3 CP01mi Burwash, YK, CAN
19891217 04:18 341   FO    0         EN22um 'Barro'  Fort  Dodge, IA, USA
20050403 12:56 341   GIG   50   39.1 DN81dw 'Gering'  Scottsbluff, NE, USA
19881113 06:34 341   GIG   50   39.1 DN81dw 'Gering'  Scottsbluff, NE, USA
20000813 04:17 341   GIG   50   39.1 DN81dw 'Gering'  Scottsbluff, NE, USA
19881208 05:34 341   MYZ   0         EM19qu Marysville, KS, USA
20070826 10:40 341   MYZ   0         EM19qu Marysville, KS, USA
20000813 04:21 341   MYZ   0         EM19qu Marysville, KS, USA
19991228 08:28 341   OIN   25   70.8 DM99rt Oberlin, KS, USA
